,duration_integral,adj_db_score,adj_im_score
0,0.0,8.7379144187,8.19042409353
1,20.0,8.18490027039,7.7913485299
2,40.0,7.78270816253,8.23476582282
3,60.0,7.22969401421,7.2592477784
4,80.0,6.47558381196,6.54978010973
5,100.0,6.77722789286,6.90451394406
6,120.0,7.17942000073,7.2592477784
7,140.0,7.48106408163,7.61398161274
8,160.0,7.78270816253,7.7913485299
9,180.0,7.88325618949,8.05739890565
10,200.0,7.58161210859,7.8356902592
11,220.0,8.33572231084,8.23476582282
12,240.0,8.28544829736,8.32344928141
13,260.0,7.98380421646,7.88003198849
14,280.0,7.98380421646,8.50081619857
15,320.0,6.87777591983,7.48095642486
