,adj_im_integral,duration,budget
0,2.4,115.0,13000000.0
1,2.7,88.0,22500000.0
2,2.8,93.0,7000000.0
3,2.9,99.5,13800000.0
4,3.0,94.0,20000000.0
5,3.1,120.0,49000000.0
6,3.2,97.0,18000000.0
7,3.4,85.5,25000000.0
8,3.5,94.5,19500000.0
9,3.6,90.5,15500000.0
10,3.7,98.5,36500000.0
11,3.8,97.0,7500000.0
12,3.9,93.0,14000000.0
13,4.0,88.0,49000000.0
14,4.1,90.0,20000000.0
15,4.2,90.0,22000000.0
16,4.3,107.0,25000000.0
17,4.4,90.0,47500000.0
18,4.5,90.0,21750000.0
19,4.6,97.0,22000000.0
20,4.7,97.0,50500000.0
21,4.8,97.0,26000000.0
22,4.9,94.0,30000000.0
23,5.0,91.0,20000000.0
24,5.1,95.0,21000000.0
25,5.2,94.0,32500000.0
26,5.3,97.0,28000000.0
27,5.4,95.5,18000000.0
28,5.5,97.0,30000000.0
29,5.6,97.0,26000000.0
30,5.7,97.0,20000000.0
31,5.8,98.0,35000000.0
32,5.9,101.0,35000000.0
33,6.0,101.0,30000000.0
34,6.1,101.0,30000000.0
35,6.2,99.0,30000000.0
36,6.3,106.0,40000000.0
37,6.4,103.0,27000000.0
38,6.5,103.0,28000000.0
39,6.6,104.0,31000000.0
40,6.7,106.0,34200000.0
41,6.8,107.0,26000000.0
42,6.9,109.0,27000000.0
43,7.0,108.0,20000000.0
44,7.1,111.0,25000000.0
45,7.2,110.0,20000000.0
46,7.3,107.0,20000000.0
47,7.4,110.0,18000000.0
48,7.5,111.0,21000000.0
49,7.6,111.0,12000000.0
50,7.7,120.0,20000000.0
51,7.8,116.5,15000000.0
52,7.9,115.0,19000000.0
53,8.0,116.5,18000000.0
54,8.1,125.0,13000000.0
55,8.2,115.0,18750000.0
56,8.3,124.0,15000000.0
57,8.4,119.0,12000000.0
58,8.5,125.5,18026148.0
59,8.6,106.0,13250000.0
60,8.7,134.0,18000000.0
61,8.8,142.0,63000000.0
62,8.9,181.5,15000000.0
63,9.0,152.0,99000000.0
64,9.1,55.0,
65,9.2,158.5,15500000.0
